grupo,categoria,Titulo,Pais,Ano,Idioma,Medio_divulgacion,Autores
CONTAS,Demás trabajos,La Responsabilidad Social en el Ejercicio Ciudadano,Colombia, 2020,Español,Papel,RUBY STELLA CABRERA JARAMILLO
CONTAS,Demás trabajos,El valor Público y la gerencia pública,Colombia, 2019,Español,Internet,FARLEY SARY ROJAS RESTREPO
CONTAS,Demás trabajos,"Conferencia internacional. ""RETOS DE LA SOSTENIBILIDAD GLOBAL""",Colombia, 2018,Español,Internet,ALBA LUCIA GOMEZ RAMIREZ
CONTAS,Demás trabajos,"Conferencia internacional "" Responsabilidad social empresarial""",Colombia, 2018,Español,Papel,ALBA LUCIA GOMEZ RAMIREZ
CONTAS,Demás trabajos,"Conferencia internacional: Facturación electrónica""",Colombia, 2018,Español,Papel,ALBA LUCIA GOMEZ RAMIREZ
CONTAS,Demás trabajos,Seminario Gestión Ambiental Empresarial frente a la Contaminación de Ciudad,Colombia, 2017,Español,Internet,ALBA LUCIA GOMEZ RAMIREZ
CONTAS,Demás trabajos,Conferencia: Prospectiva de la formacion del Contador Público,Colombia, 2013,Español,Otro,MARIA VICTORIA AGUDELO VARGAS
CONTAS,Demás trabajos,Ponencia: Prácticas educativas y profesionales en los últimos 20 años en Colombia,Colombia, 2013,Español,Otro,MARIA VICTORIA AGUDELO VARGAS
CONTAS,Demás trabajos,los métodos de integración regulativa como alternativa de mejoramiento técnico de la profesión,Colombia, 2009,Español,Papel,CARLOS ALBERTO MUNOZ RESTREPO
CONTAS,Demás trabajos,Marco Institucional de la Regulación Contable en Colombia. Implicaciones Técnicas y Pedagógicas,Colombia, 2009,Español,Papel,CARLOS ALBERTO MUNOZ RESTREPO
CONTAS,Demás trabajos,Marco Internacional de la Regulación contable,Colombia, 2009,Español,Papel,CARLOS ALBERTO MUNOZ RESTREPO
CONTAS,Demás trabajos,Marco Internacional de la Regulación contable,Colombia, 2009,Español,Papel,CARLOS ALBERTO MUNOZ RESTREPO
CONTAS,Demás trabajos,Programa de tecnología en costos y tributaria,Colombia, 2005,Español,Papel,"MARIA VICTORIA AGUDELO VARGAS, ARMANDO LEON MEJIA BETANCUR"
CONTAS,Demás trabajos,Marco de Fundamentación Conceptual Pruebas Ecaes 2004-2005,Colombia, 2004,Español,Internet,MARIA VICTORIA AGUDELO VARGAS
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Senderos actuales del método en teología,Colombia, 2021,Español,Internet,MANUEL DAVID GOMEZ ERAZO
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Jesús y la historia,Colombia, 2021,Español,Internet,MANUEL DAVID GOMEZ ERAZO
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Fratelli Tutti: nuevo impulso para la renovación del quehacer teológico,Chile, 2020,Español,Internet,MANUEL DAVID GOMEZ ERAZO
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Cómo investigar en teología,Colombia, 2020,Español,Internet,MANUEL DAVID GOMEZ ERAZO
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,"Sufrimiento, motor para la resignificación política",Colombia, 2020,Español,Otro,MANUEL DAVID GOMEZ ERAZO
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Alteridad y sincretismo en ¿Simón el mago¿ de Tomás Carrasquilla,Colombia, 2019,Español,Papel,JUAN ESTEBAN LONDONO BETANCUR
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Decolonialismo en la Filosofía y la Teología,Colombia, 2018,Español,Otro,MANUEL DAVID GOMEZ ERAZO
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Pasividad mística: una compresión naturalizada de la experiencia mística,Colombia, 2015,Español,Otro,LINA MARCELA DE LA MILAGROSA CADAVID RAMIREZ
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Lenguaje y mundo: complejidad y simplicidad,Colombia, 2015,Español,Otro,LEIDY ANDREA RIOS RESTREPO
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Presentación de la ponencia: La política sin la polis y la polis política,Colombia, 2015,Español,Otro,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Presentación de la ponencia: Tragedia y Política: la axiología de la democracia.,Colombia, 2015,Español,Otro,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Russell y Wittgenstein: lenguaje y mundo en el atomismo lógico,Colombia, 2015,Español,Papel,LEIDY ANDREA RIOS RESTREPO
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Ponente en el III Congreso de Filosofía para Jóvenes: ¿Pos-Sociedad: ¿una Nueva Ciudadanía Juvenil?¿ Tema: Sociedad de Control vs Autorregulación,Colombia, 2015,Español,Papel,JULIAN ANDRES TORRES SANCHEZ
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,"Comportamiento artístico, dos hipótesis desde una perspectiva biológico-evolutiva",Colombia, 2015,Español,Otro,LEIDY ANDREA RIOS RESTREPO
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,"Ponencia Seminario de Intervención con Familias: "" La Familia como un Escenario de Intervención Interdisciplinar"". Tema: La Concepción de Familia desde el Nuevo Humanismo",Colombia, 2015,Español,Papel,JULIAN ANDRES TORRES SANCHEZ
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Presentación de la ponencia : La creación de la Polis: La filosofía de un modo de vida en las XII Jornadas de Reflexión filosófica Fundación Universitaria Luis Amigó,Colombia, 2014,Español,Papel,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Ponencia en las XII Jornadas de Reflexión Filosófica. Tema: Una mirada al Pensamiento Rizomatico de Guilles Deleuze y Félix Guattari.,Colombia, 2014,Español,Papel,JULIAN ANDRES TORRES SANCHEZ
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Ponencia: Luz y sombra: invitación a trascender el límite,Colombia, 2014,Español,Otro,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,"Presentición de la ponencia ""Cuerpo trágico; cuerpo incruento"" en el  II Congreso de Filosofía para Jóvenes Fundación Universitaria Luis Amigo",Colombia, 2014,Español,Papel,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,"Ponencia Seminario Nacional de Psicología Comunitaria ""Del Aula a la Praxis"". Tema: ¿Una lectura de la Sociedad erotizada y sobre estimulada en la que vivimos¿. Fundación Universitaria Luis Amigo los días 26 y 27 de Septiembre",Colombia, 2014,Español,Papel,JULIAN ANDRES TORRES SANCHEZ
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,"Presentación de la ponencia "" La creación de la polis: La filosofía de un modo de vida.""en el  Segundo Congreso internacional de la sociedad filosófica del Uruguay",Uruguay, 2014,Español,Otro,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Moderador en el Primer Simposio Nacional Perspectivas actuales de la Responsabilidad Social.,Colombia, 2014,Español,Papel,JULIAN ANDRES TORRES SANCHEZ
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Participación como ponente en II Foro regional- XVI Foro local de estudiantes de Filosofía de la Universidad del Quindío,Colombia, 2013,Español,Papel,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,"Ponencia ""La Orestíada Ideología y Tragedia"" en el 1er Congreso Colombiano de Estudiantes de Filosofía en la Universidad del Valle",Colombia, 2013,Español,Papel,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Panelista en el 1er Congreso de Filosofía para jovenes,Colombia, 2013,Español,Internet,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Ponencia,Colombia, 2013,Español,Papel,VERONICA NARANJO QUINTERO
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Síntesis de Teología Moral,Colombia, 2013,Español,Internet,VERONICA NARANJO QUINTERO
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Mesa de Trabajo,Colombia, 2013,Español,Internet,VERONICA NARANJO QUINTERO
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Conversatorio de Género,Colombia, 2013,Español,Papel,VERONICA NARANJO QUINTERO
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Ponente en el XII Encuentro Regional de semillero de Investigación-Nodo Antioquia.,Colombia, 2013,Español,Papel,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,"Ponencia ""La Orestíada Ideología y Tragedia"" en el XXIII Foro de Estudiantes de Filosofía de la Universidad de Antioquia",Colombia, 2013,Español,Papel,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Taller,Colombia, 2013,Español,Internet,VERONICA NARANJO QUINTERO
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Presentacion de la Ponencia : Bataille : Erotismo y Filosofía en la catedra de contexto de la Fundación Universitaria Luis Amigó,Colombia, 2012,Español,Papel,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,Ponencia categoría Ambiente,Colombia, 2011,Español,Internet,MARIA TERESA CASTRILLON ALZATE
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,MÓDULO DE FILOSOFÍA A DISTANCIA: LATÍN I,Colombia, 2008,Español,Internet,WILFRIDO ZUNIGA RODRIGUEZ
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,MÓDULO DE FILOSOFÍA A DISTANCIA: GRIEGO I,Colombia, 2008,Español,Internet,WILFRIDO ZUNIGA RODRIGUEZ
FILOSOFIA Y TEOLOGIA CRITICA,Demás trabajos,una mirada a la formacion sociohumanista en la universidad,Colombia, 2007,Español,Internet,MARIA LORENA LIBERTTI MURILLO
URBANITAS,Demás trabajos,Ponencia - Libro de resúmenes: Problemática en en el tratamiento de campañas de Publicidad Social en comparación con mensajes de Publicidad Comercial,Ecuador, 2018,Español,Internet,RAFAEL VARGAS CANO
URBANITAS,Demás trabajos,Curso electivo: Propaganda,Colombia, 2016,Español,Otro,JUAN DIEGO LOPEZ MEDINA
URBANITAS,Demás trabajos,Definición de variables en investigación cualitativa,Colombia, 2015,Español,Otro,JUAN DIEGO LOPEZ MEDINA
URBANITAS,Demás trabajos,"""Algunas características ideológicas de los programas enlatados emitidos en la televisión colombiana entre 1955 y 1990""",Colombia, 2012,Español,Papel,FERNANDO AQUILES DE LA SANTISI ARANGO NAVARRO
URBANITAS,Demás trabajos,Obra Documental Audiovisual: Mitos acerca del suicidio en niños y adolescentes. Objeto de aprendizaje,Colombia, 2010,Español,Internet,ANCIZAR VARGAS LEON
URBANITAS,Demás trabajos,Obra Documental Audiovisual para la prevención del suicidio en el escenario escolar,Colombia, 2010,Español,Internet,ANCIZAR VARGAS LEON
URBANITAS,Demás trabajos,"Obra Documental Audiovisual: Acercamientos interdisciplinarios entre los programa de Educación, Comunicación Social e Ingeniería de Sistemas de la Funlam y sus relaciones con las demandas de formación interdisciplinaria de Instituciones Educativas de secundaria.",Colombia, 2010,Español,Internet,ANCIZAR VARGAS LEON
URBANITAS,Demás trabajos,"Obra Documental Audiovisual: Tele-audiencias críticas y producción co-reponsable: modelo pedagógico participativo de formación en la lectura crítica del servicio de televisión entre la comunidad escolar del INEM José Félix de Restrepo y Telemedellín: ""Críticos TV""",Colombia, 2009,Español,Internet,ANCIZAR VARGAS LEON
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,De la presencia a la red. Una reexión amigoniana frente a nuestra nueva realidad,Italia, 2020,Español,Internet,ALEXANDER RODRIGUEZ BUSTAMANTE
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Descubriendo el consumo durante el aislamiento social - Apprevenir.,Colombia, 2020,Español,Internet,"SANDRA MILENA RESTREPO ESCOBAR, ALEXANDER RODRIGUEZ BUSTAMANTE"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Empatía para ser más humanos,Colombia, 2020,Español,Internet,ALEXANDER RODRIGUEZ BUSTAMANTE
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Agenda familia 2020 de la Especialización en Terapia Familiar Jornadas Permanentes de Proyección Social Universidad Católica Luis Amigó.,Colombia, 2020,Español,Otro,ALEXANDER RODRIGUEZ BUSTAMANTE
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Documento Maestro Doctorado de Estudios Interdisciplinarios de Psicología,Colombia, 2019,Español,Papel,SANDRA MILENA RESTREPO ESCOBAR
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Agenda familia 2019 de la Especialización en Terapia Familiar Jornadas Permanentes de Proyección Social Universidad Católica Luis Amigó.,Colombia, 2019,Español,Otro,ALEXANDER RODRIGUEZ BUSTAMANTE
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Renovación de registro calificado Maestría en adicciones y salud mental,Colombia, 2018,Español,Papel,"MARICELLY GOMEZ VARGAS, SANDRA MILENA RESTREPO ESCOBAR, GUSTAVO ADOLFO CALDERON VALLEJO"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,"VII SEMINARIO NACIONAL DE FAMILIA: Retos y Posibilidades para las Familias, las Instituciones y el Estado frente a la Violencia, la Exclusión y la Pobreza",Colombia, 2014,Español,Internet,"ALEXANDER RODRIGUEZ BUSTAMANTE, ALEXANDER  ALVIS RIZZO, CARMEN PATRICIA DUQUE SIERRA, ALEXANDER ALVIS RIZZO"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Entrenamiento en Aspectos generales de tratamiento y rehabilitación en Drogodependencias,Venezuela, 2012,Español,Papel,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,REFLEXIONES Y PREGUNTAS SOBRE LA APROBACION DE LA LEY QUE PROHIBE EL PORTE DE LA DOSIS PERSONAL EN COLOMBIA,Colombia, 2009,Español,Internet,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Opiaceos. Guia de Tratamiento para usuarios problematicos de drogas.,Uruguay, 2007,Español,Papel,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,ACTUALIZACION DE LA GUIA PRACTICA DE ATENCION INTEGRAL EN FARMACODEPENDENCIA,Colombia, 2004,Español,Internet,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Cocaine Fumabili,Italia, 2004,Italiano,Papel,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Sistema integrado de prácticas de formación y proyección social en prevención integral,Colombia, 2003,Español,Papel,"GUILLERMO ALONSO CASTANO PEREZ, ANGELA MARIA PARRA BASTIDAS, GUSTAVO ADOLFO CALDERON VALLEJO, MARIA CAROLINA MONTOYA MONTOYA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,"Programa de prevención frente al consumo de alcohol, tabaco y otras sustancias psicoactivas en la Comunidad Educativa Funlam.",Colombia, 2003,Español,Papel,"GUILLERMO ALONSO CASTANO PEREZ, GUSTAVO ADOLFO CALDERON V, ANGELA MARIA PARRA BASTIDAS, MARIA CAROLINA MONTOYA MONTOYA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,La construcción de un currículo en un programa de formación de formadores en prevención integral.,Colombia, 2003,Español,Papel,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Textos y Argumentos No. 5. Línea de investigación: el ser humano y su relación con las drogas y sus problemas conexos,Colombia, 2003,Español,Papel,"GUILLERMO ALONSO CASTANO PEREZ, GUSTAVO ADOLFO CALDERON VALLEJO"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Desarrollo Humano Obcion Vida,Colombia, 2002,Español,,MARIA CAROLINA MONTOYA MONTOYA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Politica de la Fundacion Universitaria Luis AMigo frente al consumo de alcohol y otras sustancias psicoactivas en su comunidad academica,Colombia, 2002,Español,Papel,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Desarrollo Humano como constructo conceptual de acción para la Prevención Integral,Colombia, 2002,Español,Internet,"GUILLERMO ALONSO CASTANO PEREZ, GUSTAVO ADOLFO CALDERON VALLEJO"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Estrategias de reducción de daño en el contexto Colombiano: Propuestas de actuación,Colombia, 2002,Español,Papel,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Consumo de sustancias psicoactivas y otros factores asociados con delincuencia juvenil,Colombia, 2000,Español,Papel,"GUSTAVO ADOLFO CALDERON VALLEJO, JOSE MARIA MAYA MEJIA, YOLANDA TORRES DE GALVIS, LENN MURELLE, MARIA DE LOS ANGELES RODRIGUEZ"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Memorias Jornadas de Actualización en Farmacodependencia,Colombia, 2000,Español,Internet,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,Memorias Jornadas de Actualización en Farmacodependencia,Colombia, 2000,Español,Internet,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,PREVENCIÓN PRIMARIA DE LA FARMACODEPENDENCIA,Colombia, 2000,Español,Papel,ANGELA MARIA PARRA BASTIDAS
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,SISTEMATIZACIÓN DE PROGRAMAS PREVENTIVOS DEL USO INDEBIDO DE DROGAS EN MEDELLÍN,Colombia, 1999,Español,Papel,ANGELA MARIA PARRA BASTIDAS
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,DESARROLLO Y VALORACIÓN DE UNA METODOLOGÍA DE EVALUACIÓN DE TRATAMIENTOS DE FARMACODEPENDIENTES,Colombia, 1997,Español,Papel,GUSTAVO ADOLFO CALDERON VALLEJO
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Demás trabajos,MODALIDADES DE TRATAMIENTO Y REHABILITACIÓN DE FARMACODEPENDIENTES EN COLOMBIA,Colombia, 1997,Español,Papel,GUSTAVO ADOLFO CALDERON VALLEJO
