grupo,categoria,tipo_producto,titulo,pais,ano,ISBN,editorial,autores
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Situaciones y retos de la investigación en Latinoamérica,Colombia,2018,978-958-8943-38-1,Fondo Editorial Funlam,"JUAN SANTIAGO CALLE PIEDRAHITA, GUSTAVO ADOLFO CALDERON VALLEJO, PAULA ANDREA MONTOYA ZULUAGA, SONIA NATALIA COGOLLO OSPINA, SANTIAGO ALBERTO MORALES, MAGDA VICTORIA DIAZ ALZATE"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,"Fundamentos De Medicina: Adicciones, Aspectos Clínicos Y Psicosociales, Tratamiento Y Prevencion",Colombia,2013,978-958-8843-01-8,Fondo Editorial Cib Medellin,"GUILLERMO ALONSO CASTANO PEREZ, ELVIA VELASQUEZ DE P, ALVARO OLAYA PELAEZ, SERGIO CASTRO REY"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,"Fundamentos De Medicina: Adicciones, Aspectos Clínicos Y Psicosociales, Tratamiento Y Prevencion",Colombia,2013,978-958-8843-01-8,Fondo Editorial Cib Medellin,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Kit Educativo: Universidades Preventivas,Colombia,2008,978-958-8399-01-0,Funlam,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano,Colombia,2005,958-97524-9-7,Fundación Universitaria Luis Amigó,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Serie Formándonos En Prevención Integral. Módulo 4. Investigación Y Problemáticas Sociales,Colombia,2005,958-97524-7-0,Fundación Universitaria Luis Amigó,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Serie Formándonos En Prevención Integral. Módulo 1. Formando Formadores,Colombia,2005,958-97685-0-4,Fundación Universitaria Luis Amigó,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Serie Formandonos En Prevencion Integral. Lo Socieducativo En La Prevencion Integral,Colombia,2005,9589752489,Fundación Universitaria Luis Amigó,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Manual Conceptos Que Constituyen Información Básica Sobre Farmacodependencia Y Alcoholismo,Colombia,2003,958-97303-0-2,Fondo Editorial Fundacion Universitaria Luis Amigo,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, GUILLERMO ALONSO CASTANO PEREZ, CAROLINA MONTOYA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Manual Diseñemos Juntos Un Programa De Prevención Integral,Colombia,2003,958-97303-1-0,Funlam,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Manual Diseñemos Juntos Un Programa De Prevención Integral,Colombia,2003,958-97303-1-0,Funlam,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Manual Conceptos Que Constituyen Información Básica Sobre Farmacodependencia Y Alcoholismo,Colombia,2003,958-97303-0-2,Fondo Editorial Fundacion Universitaria Luis Amigo,"GUILLERMO ALONSO CASTANO PEREZ, ANGELA MARIA PARRA BASTIDAS, GUSTAVO ADOLFO CALDERON VALLEJO, CAROLINA MONTOYA MONTOYA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Manual Diseñemos Juntos Un Programa De Prevención Integral,Colombia,2003,958-97303-1-0,Funlam,"GUILLERMO ALONSO CASTANO PEREZ, ANGELA MARIA PARRA BASTIDAS, GUSTAVO ADOLFO CALDERON VALLEJO, CAROLINA MONTOYA MONTOYA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Manual Construyendo Participación Comunitaria,Colombia,2003,958-97303-3-7,Funlam,"GUILLERMO ALONSO CASTANO PEREZ, ANGELA MARIA PARRA BASTIDAS, GUSTAVO ADOLFO CALDERON VALLEJO, CAROLINA MONTOYA MONTOYA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Manual Construcción Participativa De Materiales Educativos Herramientas Para La Prevención Integral,Colombia,2003,958-97303-2-9,Fundación Universitaria Luis Amigó,"GUILLERMO ALONSO CASTANO PEREZ, ANGELA MARIA PARRA BASTIDAS, GUSTAVO ADOLFO CALDERON VALLEJO, CAROLINA MONTOYA MONTOYA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,Colombia,2003,958-96832-5-8,Fondo Editorial Fundacion Universitaria Luis Amigo,"GUILLERMO ALONSO CASTANO PEREZ, GRACIELA TOUZE, SILVIA INCHAURRUAGA, ADELAIDA STORTI, MARINO MARTINEZ PEREZ, RICARDO GARCIA BERNAL, TIMOTHY ROSS, ALBA LUZ CAICEDO AGUIRRE, ANTONIO MARIA FLOREZ, FABIO MEZQUITA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Manual Construcción Participativa De Materiales Educativos Herramientas Para La Prevención Integral,Colombia,2003,958-97303-2-9,Fundación Universitaria Luis Amigó,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Farmacodependencia: Conceptos y enfoques,Colombia,2001,96832-8-2,Fundación Universitaria Luis Amigó,"GUSTAVO ADOLFO CALDERON VALLEJO, LIBIA ELENA RAMIREZ ROBLEDO, LUZ ELENA JIMENEZ GOMEZ"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros de formación,Libros de formación,Situaciones y Retos de la Investigación en Latinoamérica,Colombia,2018,978-958-8943-38-1,Fondo Editorial Universidad Católica Luis Amigó,"PAULA ANDREA MONTOYA ZULUAGA, SONIA NATALIA COGOLLO OSPINA, NICOLASA MARIA DURAN PALACIO, STEFANI CASTANO TORRES, GUSTAVO ADOLFO CALDERON VALLEJO, JUAN SANTIAGO CALLE PIEDRAHITA, BEATRIZ ELENA GARCIA CHACON, SANTIAGO ALBERTO MORALES MESA, HEIDI SMITH PULIDO VARON, LUIS FERNANDO CARDONA PALACIO, MARIO ALEJANDRO LOPEZ OCAMPO, VIVIANA ELOISA GOMEZ RENGIFO, LUIS FERNANDO QUINTERO ARANGO, MARIA MERCEDES GOMEZ CORREA, MAGDA VICTORIA DIAZ ALZATE, MARCELA ARROYAVE HINCAPIE, SANDRA JULIET CLAVIJO ZAPATA, JOSE FEDERICO AGUDELO TORRES, EDGAR OCAMPO RUIZ, ADRIANA MARIA GALLEGO HENAO, CARLOS ANDRES ARISTIZABAL BOTERO, JAIRO GUTIERREZ AVENDANO, NORMAN DARIO MORENO CARMONA, JUAN DIEGO BETANCUR ARIAS, KATY LUZ MILLAN OTERO, FELIX RAFAEL BERROUET MARIMON"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros de formación,Libros de formación,Psicología Social Crítica e Intervención Psicosocial: reflexiones y experiencias de Investigación,Colombia,2015,978-958-8785-50-9,Editorial Bonaventuriana,NORMAN DARIO MORENO CARMONA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros de formación,Libros de formación,Psicología Social Y Psicoánalisis Pichón Con Lacan Los Grupos Operativos A La Luz De Los Cuatro Discursos,Colombia,2007,978-958-98047-3-5,Fundación Universitaria Luis Amigó,"JAIME ALBERTO CARMONA PARRA, HERNANDO ALBERTO BERNAL ZULUGA, MARIA PAULINA MEJIA"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros de formación,Libros de formación,Psicología Social Y Psicoanálisis: Pichon Con Lacan,Colombia,2005,958-97524-2-X,Fundación Universitaria Luis Amigó,"JAIME ALBERTO CARMONA PARRA, MARIA PAULINA MEJIA, HERNANDO ALBERTO BERNAL ZULUGA"
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Libros de formación,Libros de formación,The Sounds of English: Theory and Practice for Latin American Speakers,Colombia,2020,978-958-8943-53-4,Fondo Editorial Funlam,JOSE VICENTE ABAD OLAYA
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Libros de formación,Libros de formación,Situaciones y retos de la investigación en Latinoamérica,Colombia,2018,978-958-8943-38-1,Fondo editorial Universidad Católica Luis Amigó,"ADRIANA MARIA GALLEGO HENAO, SONIA NATALIA COGOLLO OSPINA, NICOLASA MARIA DURAN PALACIO, STEFANI CASTANO TORRES, JUAN SANTIAGO CALLE PIEDRAHITA, GUSTAVO ADOLFO CALDERON VALLEJO, BEATRIZ ELENA GARCIA CHACON, PAULA ANDREA MONTOYA ZULUAGA, SANTIAGO ALBERTO MORALES MESA, HEIDI SMITH PULIDO VARON, LUIS FERNANDO CARDONA PALACIO, KATY LUZ MILLAN OTERO, MARIO ALEJANDRO LOPEZ OCAMPO, VIVIANA ELOISA GOMEZ RENGIFO, LUIS FERNANDO QUINTERO ARANGO, MARIA MERCEDES GOMEZ CORREA, MARCELA ARROYAVE HINCAPIE, MAGDA VICTORIA DIAZ ALZATE, JOSE FEDERICO AGUDELO TORRES, EDGAR OCAMPO RUIZ, CARLOS ANDRES ARISTIZABAL BOTERO, JAIRO GUTIERREZ AVENDANO, JUAN DIEGO BETANCUR ARIAS, FELIX RAFAEL BERROUET MARIMON"
NEUROCIENCIAS BASICAS Y APLICADAS,Libros de formación,Libros de formación,Situaciones y retos de la investigación en latinoamérica,Colombia,2018,978-958-8943-38-1,Fondo Editorial Universidad Católica Luis Amigó,"PAULA ANDREA MONTOYA ZULUAGA, SONIA NATALIA COGOLLO OSPINA, NICOLASA MARIA DURAN PALACIO, STEFANI CASTANO TORRES, JUAN SANTIAGO CALLE PIEDRAHITA, GUSTAVO ADOLFO CALDERON VALLEJO, BEATRIZ ELENA GARCIA CHACON, SANTIAGO ALBERTO MORALES MESA, HEIDI SMITH PULIDO VARON, LUIS FERNANDO CARDONA PALACIO, KATY LUZ MILLAN OTERO, MARIO ALEJANDRO LOPEZ OCAMPO, VIVIANA ELOISA GOMEZ RENGIFO, LUIS FERNANDO QUINTERO ARANGO, MARIA MERCEDES GOMEZ CORREA, MARCELA ARROYAVE HINCAPIE, MAGDA VICTORIA DIAZ ALZATE, JOSE FEDERICO AGUDELO TORRES, ADRIANA MARIA GALLEGO HENAO, EDGAR OCAMPO RUIZ, CARLOS ANDRES ARISTIZABAL BOTERO, JAIRO GUTIERREZ AVENDANO, NORMAN DARIO MORENO CARMONA, JUAN DIEGO BETANCUR ARIAS, FELIX RAFAEL BERROUET MARIMON"
GORAS,Libros de formación,Libros de formación,Situaciones y Retos de la Investigación en Latinoamerica,Colombia,2018,978-958-8943-38-1,Fondo editorial Universidad Católica Luis Amigó,"LUIS FERNANDO QUINTERO ARANGO, JUAN DIEGO BETANCUR ARIAS, ADRIANA MARIA GALLEGO HENAO, CARLOS ANDRES ARISTIZABAL BOTERO, PAULA ANDREA MONTOYA ZULUAGA, FELIX RAFAEL BERROUET MARIMON, MARIO ALEJANDRO LOPEZ OCAMPO, VIVIANA ELOISA GOMEZ RENGIFO, MAGDA VICTORIA DIAZ ALZATE, JOSE FEDERICO AGUDELO TORRES, MARIA MERCEDES GOMEZ CORREA, SONIA NATALIA COGOLLO OSPINA, LUIS FERNANDO CARDONA PALACIO, MARCELA ARROYAVE HINCAPIE, HEIDI SMITH PULIDO VARON, BEATRIZ ELENA GARCIA CHACON, JAIRO GUTIERREZ AVENDANO, EDGAR OCAMPO RUIZ, NICOLASA MARIA DURAN PALACIO, STEFANI CASTANO TORRES, JUAN SANTIAGO CALLE PIEDRAHITA, NORMAN DARIO MORENO CARMONA, KATY LUZ MILLAN OTERO"
GORAS,Libros de formación,Libros de formación,Situaciones y retos de la investigación en Latinoamérica,Colombia,2018,978-958-8943-38-1,Fondo Editorial Universidad Católica Luis Amigó,JUAN SANTIAGO CALLE PIEDRAHITA
SISCO,Libros de formación,Libros de formación,Estadística descriptiva y probabilidad,Colombia,2019,978-958-771-825-6,ECOE EDICIONES,ANDRES MAURICIO GRISALES AGUIRRE
SISCO,Libros de formación,Libros de formación,Elementos Básicos de Matemáticas con Herramientas Interactivas,Colombia,2018,978-958-8943-39-8,Fondo Editorial Universidad Católica Luis Amigó.,ANDRES MAURICIO GRISALES AGUIRRE
